Sl. No.,Year,State/UT,Institutional Care (Homes) - Number Assisted,Institutional Care (Homes) - Beneficiaries,Open Shelters - Number Assisted,Open Shelters - Beneficiaries,Specialised Adoption Agencies - Number Assisted,Specialised Adoption Agencies - Beneficiaries,Juvenile Justice Board - Number Assisted
1,2018-19,Andhra Pradesh,66,2316,13,342,14,144,13
2,2018-19,Arunachal Pradesh,4,76,0,0,1,9,21
3,2018-19,Assam,37,1765,3,51,23,69,33
4,2018-19,Bihar,26,1567,5,134,13,138,38
5,2018-19,Chhattisgarh,65,2325,10,117,12,120,27
6,2018-19,Goa,23,1188,3,378,2,16,2
7,2018-19,Gujarat,45,1706,0,0,12,86,33
8,2018-19,Haryana,24,1403,21,614,7,47,22
9,2018-19,Himachal Pradesh,33,1227,3,38,1,11,12
10,2018-19,Jammu and Kashmir,17,823,0,0,2,0,22
11,2018-19,Jharkhand,36,992,5,141,15,93,24
12,2018-19,Karnataka,80,2998,40,1153,25,107,30
13,2018-19,Kerala,30,788,4,100,12,65,14
14,2018-19,Madhya Pradesh,67,2804,8,348,26,243,51
15,2018-19,Maharashtra,67,2605,3,86,13,136,36
16,2018-19,Manipur,42,1160,14,296,7,55,9
17,2018-19,Meghalaya,44,960,3,159,3,6,11
18,2018-19,Mizoram,36,1195,0,0,5,50,8
19,2018-19,Nagaland,39,477,3,35,4,5,11
20,2018-19,Orissa,96,6859,12,244,23,223,30
21,2018-19,Punjab,13,463,0,0,0,0,22
22,2018-19,Rajasthan,85,2459,22,401,24,99,34
23,2018-19,Sikkim,12,355,3,60,4,20,4
24,2018-19,Tamil Nadu,189,11915,12,264,20,169,32
25,2018-19,Tripura,23,717,2,58,6,49,8
26,2018-19,Uttar Pradesh,77,3162,20,500,12,120,75
27,2018-19,Uttarakhand,20,437,2,50,2,15,13
28,2018-19,West Bengal,73,5436,49,1326,32,460,23
29,2018-19,Telangana,42,1343,0,0,11,342,31
30,2018-19,Andaman & Nicobar Islands,3,101,0,0,0,0,3
31,2018-19,Chandigarh,7,252,0,0,2,17,1
32,2018-19,Dadra and Nagar Haveli,0,0,0,0,0,0,1
33,2018-19,Daman and Diu,0,0,0,0,0,0,2
34,2018-19,Lakshadweep,0,0,0,0,0,0,1
35,2018-19,Delhi,28,1447,13,380,3,72,6
36,2018-19,Puducherry,27,1043,2,42,2,16,4
Total,2018-19,Total,1476,64364,275,7317,338,3002,707
1,2019-20 ,Andhra Pradesh,66,2954,9,262,14,140,13
2,2019-20 ,Arunachal Pradesh,5,185,0,0,1,10,26
3,2019-20 ,Assam,52,1617,7,104,21,72,33
4,2019-20 ,Bihar,26,1286,0,0,13,132,38
5,2019-20 ,Chhattisgarh,65,2042,10,127,12,95,27
6,2019-20 ,Goa,20,557,2,225,2,16,2
7,2019-20 ,Gujarat,52,1707,3,60,13,128,33
8,2019-20 ,Haryana,24,1322,14,425,7,52,22
9,2019-20 ,Himachal Pradesh,32,1268,4,91,1,15,12
10,2019-20 ,Jammu and Kashmir,17,823,0,0,2,0,22
11,2019-20 ,Jharkhand,41,1466,5,125,12,92,24
12,2019-20 ,Karnataka,79,3124,38,1084,25,319,35
13,2019-20 ,Kerala,30,721,4,100,11,222,14
14,2019-20 ,Madhya Pradesh,62,2565,8,374,25,213,51
15,2019-20 ,Maharashtra,74,2320,2,50,17,170,36
16,2019-20 ,Manipur,46,1392,16,355,9,98,16
17,2019-20 ,Meghalaya,44,868,4,150,4,5,11
18,2019-20 ,Mizoram,45,1178,0,0,7,26,8
19,2019-20 ,Nagaland,39,609,3,60,4,5,11
20,2019-20 ,Orissa,93,7112,12,300,25,250,30
21,2019-20 ,Punjab,19,620,0,0,6,77,22
22,2019-20 ,Rajasthan,95,4418,20,331,21,211,34
23,2019-20 ,Sikkim,16,496,4,64,4,20,4
24,2019-20 ,Tamil Nadu,198,12864,11,275,20,200,32
25,2019-20 ,Tripura,24,722,3,75,6,51,8
26,2019-20 ,Uttar Pradesh,74,3920,20,517,25,247,75
27,2019-20 ,Uttarakhand,23,438,3,75,5,11,13
28,2019-20 ,West Bengal,70,4156,49,1226,23,326,23
29,2019-20 ,Telangana,40,1306,0,0,11,320,10
30,2019-20 ,Andaman & Nicobar Islands,10,401,0,0,2,10,3
31,2019-20 ,Chandigarh,6,252,0,0,2,17,1
32,2019-20 ,Dadra and Nagar Haveli,0,0,1,25,1,10,1
33,2019-20 ,Daman and Diu,1,25,0,0,0,0,2
34,2019-20 ,Lakshadweep,0,0,0,0,0,0,1
35,2019-20 ,Delhi,29,1614,9,313,3,59,6
36,2019-20 ,Puducherry,27,984,1,9,2,12,4
Total,2019-20 ,Total,1544,67332,262,6802,356,3631,703
1,2020-21,Andhra Pradesh,72,2745,6,145,14,122,13
2,2020-21,Arunachal Pradesh,5,185,0,0,1,10,26
3,2020-21,Assam,42,1464,6,82,19,78,33
4,2020-21,Bihar,40,1647,0,0,25,197,38
5,2020-21,Chhattisgarh,66,1971,9,79,12,119,28
6,2020-21,Goa,20,557,2,225,2,16,2
7,2020-21,Gujarat,62,1766,3,55,13,125,33
8,2020-21,Haryana,31,1546,14,414,7,57,22
9,2020-21,Himachal Pradesh,32,1208,3,48,1,8,12
10,2020-21,Jammu and Kashmir,14,759,0,0,0,0,20
11,2020-21,Jharkhand,40,1582,5,83,10,102,24
