Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,17098,18024,19057,20268,21540,22854,23907,25357,26802,28096
Peru,36,40,49,55,54,64,74,74,75,77
India,2963,3068,3314,3789,3987,3884,4596,4568,5193,5606
Indonesia,1207,1287,1366,1487,1582,1695,1963,2017,2595,3061
United States of America,392,410,399,385,361,379,351,325,325,265
Japan,114,112,107,97,83,81,73,83,80,74
Chile,4,4,5,11,12,3,3,29,37,42
Viet Nam,855,1046,1250,1490,1714,2113,2476,2573,2693,2861
Thailand,755,887,1086,1139,1236,1274,1257,1303,1208,1081
Russian Federation,310,299,288,333,314,356,332,360,378,369
Norway,1,0,0,1,1,1,1,1,1,1
Phillippines,532,542,584,618,686,755,794,803,798,810
Myanmar,445,542,855,989,1206,1322,1485,1646,1824,1977
Bangladesh,1475,1566,1647,1741,1849,1953,2066,2283,2428,2578
Korea,19,21,36,23,24,27,30,30,32,32
Mexico,108,136,143,148,150,140,132,137,132,133
Malaysia,74,80,91,100,102,110,151,227,247,196
Iceland,2,2,2,1,1,2,3,3,3,3
Taiwan,273,288,264,247,228,245,234,209,211,217
Canada,50,44,46,50,46,45,41,42,36,33
Spain,42,41,37,33,33,34,30,26,25,24
Brazil,476,490,503,486,507,519,614,642,712,860
Egypt,669,759,754,782,851,877,931,965,1183,1240
Morocco,3,2,2,4,4,5,6,7,8,10
Total of the above country,27903,29690,31885,34277,36571,38738,41550,43710,47026,49646
World Total,31665,33512,35877,38527,41082,43421,46244,48547,52125,54992
